[2025-07-04 17:33:10 : INFO] - Cache for URL: https://www.diezaunprofis.at/agb/ has been purged, triggered by action: save_post 
[2025-07-04 18:02:00 : INFO] - Cache for URL: https://www.diezaunprofis.at/latestnews/title/ has been purged, triggered by action: save_post 
[2025-07-04 18:02:00 : INFO] - Cache for archive page associated with post_type: latestnews and Title: "Title" has been purged, triggered by action: save_post 
[2025-07-04 18:02:01 : INFO] - Cache for URL: https://www.diezaunprofis.at/latestnews/title/ has been purged, triggered by action: save_post 
[2025-07-04 18:02:01 : INFO] - Cache for archive page associated with post_type: latestnews and Title: "Title" has been purged, triggered by action: save_post 
[2025-07-04 18:02:23 : INFO] - Cache for URL: https://www.diezaunprofis.at/latestnews/title/ has been purged, triggered by action: save_post 
[2025-07-04 18:02:23 : INFO] - Cache for archive page associated with post_type: latestnews and Title: "Title" has been purged, triggered by action: save_post 
[2025-07-04 18:02:24 : INFO] - Cache for URL: https://www.diezaunprofis.at/latestnews/title/ has been purged, triggered by action: save_post 
[2025-07-04 18:02:24 : INFO] - Cache for archive page associated with post_type: latestnews and Title: "Title" has been purged, triggered by action: save_post 
[2025-07-07 10:20:53 : INFO] - Cache for URL: https://www.diezaunprofis.at/latestnews/title/ has been purged, triggered by action: save_post 
[2025-07-07 10:20:53 : INFO] - Cache for archive page associated with post_type: latestnews and Title: "Angebot des Monats" has been purged, triggered by action: save_post 
[2025-07-07 10:20:54 : INFO] - Cache for URL: https://www.diezaunprofis.at/latestnews/title/ has been purged, triggered by action: save_post 
[2025-07-07 10:20:54 : INFO] - Cache for archive page associated with post_type: latestnews and Title: "Angebot des Monats" has been purged, triggered by action: save_post 
[2025-07-07 10:25:43 : INFO] - Cache for URL: https://www.diezaunprofis.at/latestnews/title/ has been purged, triggered by action: save_post 
[2025-07-07 10:25:43 : INFO] - Cache for archive page associated with post_type: latestnews and Title: "Angebot des Monats" has been purged, triggered by action: save_post 
[2025-07-07 10:25:44 : INFO] - Cache for URL: https://www.diezaunprofis.at/latestnews/title/ has been purged, triggered by action: save_post 
[2025-07-07 10:25:44 : INFO] - Cache for archive page associated with post_type: latestnews and Title: "Angebot des Monats" has been purged, triggered by action: save_post 
[2025-07-07 10:29:00 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 10:29:00 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 10:29:01 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 10:29:01 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 10:29:20 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 10:29:20 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 10:29:21 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 10:29:21 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 10:30:58 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 10:30:58 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
[2025-07-07 10:31:00 : INFO] - Cache for URL: https://www.diezaunprofis.at/products/stahlzaeune/ has been purged, triggered by action: save_post 
[2025-07-07 10:31:00 : INFO] - Cache for archive page associated with post_type: products and Title: "Massive Stahlzäune" has been purged, triggered by action: save_post 
